Empresa,sector,ventas_anuales,empleados,adopcion_tecnologica,tecnologias_utilizadas,proposito_hoy,proposito_18_anos,_latency_s
Laboratorios Lafrancol,Salud,Mediana (alta) — $10.000–50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Inteligencia Artificial; Automatización / Robótica; Big Data y analítica avanzada; Ciberseguridad; Computación en la nube,Desarrollar y comercializar productos farmacéuticos de alta calidad que mejoren la salud y el bienestar de los colombianos.,"Ser líder en la industria farmacéutica en Colombia y Latinoamérica, reconocida por nuestra innovación y compromiso con la salud y el bienestar de la comunidad.",2.6239
Laboratorios Abbott Colombia,Salud,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Inteligencia Artificial; Automatización / Robótica; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,"En Laboratorios Abbott Colombia, nos enfocamos en desarrollar soluciones innovadoras para mejorar la salud y calidad de vida de los pacientes.","En los próximos 18 años, nuestro objetivo es consolidarnos como líderes en el sector salud en Colombia, expandiendo nuestra oferta de productos y servicios de alta calidad.",2.6842
Roche Colombia,Salud,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Inteligencia Artificial; Automatización / Robótica; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,"En Roche Colombia, nos enfocamos en desarrollar y comercializar soluciones innovadoras en el ámbito de la salud, mejorando la calidad de vida de los pacientes.","En 18 años, nuestro objetivo es consolidarnos como líderes en la industria de la salud en Colombia, expandiendo nuestra cartera de productos y servicios para abordar las necesidades de salud de la población.",2.6898
Pfizer Colombia,Salud,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Inteligencia Artificial; Automatización / Robótica; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,Desarrollar y comercializar productos farmacéuticos innovadores que mejoren la calidad de vida de los pacientes en Colombia.,"Ser líder en la industria farmacéutica en Colombia, impulsando la innovación y el acceso a tratamientos de alta calidad para todos los colombianos.",2.5974
Sanofi Aventis de Colombia,Salud,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Inteligencia Artificial; Automatización / Robótica; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,Desarrollar y comercializar medicamentos y soluciones de salud innovadoras en Colombia.,"Ser líder en la industria farmacéutica en Colombia, mejorando la calidad de vida de los pacientes.",2.566
Bayer S.A. Colombia,Salud,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Inteligencia Artificial; Automatización / Robótica; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,"En Bayer, nos enfocamos en mejorar la salud y el bienestar de las personas en Colombia a través de nuestros productos y servicios innovadores.","En 18 años, nuestro objetivo es ser líderes en la industria de la salud en Colombia, impulsando la innovación y el acceso a soluciones de salud de alta calidad para todos.",2.6169
Merck Colombia,Salud,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Inteligencia Artificial; Automatización / Robótica; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,"En Merck Colombia, nos enfocamos en brindar soluciones innovadoras en el sector de la salud, mejorando la calidad de vida de los pacientes.","En 18 años, nuestro objetivo es consolidarnos como líderes en el sector de la salud en Colombia, expandiendo nuestra oferta de productos y servicios.",2.6537
Fresenius Kabi Colombia,Salud,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Automatización / Robótica; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,Proveer soluciones innovadoras en nutrición clínica y productos de cuidado de la salud.,"Ser líder en la industria de la salud a nivel global, mejorando la calidad de vida de los pacientes.",2.9098
B. Braun Medical Colombia,Salud,Mediana (alta) — $10.000–50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Automatización / Robótica; Big Data y analítica avanzada; Ciberseguridad; Computación en la nube,"B. Braun Medical Colombia busca brindar soluciones innovadoras y de alta calidad en el sector de la salud, mejorando la vida de los pacientes y profesionales de la salud.","En 18 años, B. Braun Medical Colombia aspira a ser líder en la industria de la salud en Colombia y Latinoamérica, conocida por su innovación, calidad y compromiso con la mejora continua.",2.6812
Fresenius Medical Care Colombia,Salud,Mediana (alta) — $10.000–50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Inteligencia Artificial; Automatización / Robótica; Big Data y analítica avanzada; Ciberseguridad; Computación en la nube,Brindar servicios de diálisis y cuidado renal de alta calidad a pacientes colombianos.,"Ser líderes en Latinoamérica en el cuidado renal y tratamiento de enfermedades relacionadas, expandiendo nuestra cobertura y servicios.",2.5978
DHL Express Colombia,Servicios,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Automatización / Robótica; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,"Ser líderes en logística y distribución de paquetes en Colombia, ofreciendo soluciones eficientes y personalizadas a nuestros clientes.","Consolidarnos como la empresa de logística más grande y confiable de América Latina, expandiendo nuestra cobertura y servicios.",2.5628
DHL Supply Chain Colombia,Servicios,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Automatización / Robótica; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,"Ser líderes en la gestión de la cadena de suministro en Colombia, brindando soluciones innovadoras y eficientes a nuestros clientes.","Consolidarnos como la empresa de logística y cadena de suministro más grande y confiable de América Latina, expandiendo nuestra presencia en la región.",2.616
FedEx Colombia,Servicios,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Automatización / Robótica; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,Ofrecer servicios de logística y transporte eficientes y confiables en Colombia.,"Ser líder en servicios de logística y transporte en América Latina, expandiendo nuestra cobertura y servicios.",2.5642
UPS Colombia,Servicios,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Automatización / Robótica; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,UPS Colombia busca brindar soluciones de logística y envío confiables y eficientes a sus clientes en todo el país.,"En 18 años, UPS Colombia aspira a ser líder en la región en servicios de logística y cadena de suministro, expandiendo su cobertura y servicios.",2.6191
Hotel Decameron,Servicios,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Computación en la nube; Ciberseguridad; Big Data y analítica avanzada,Ofrecer experiencias de hospedaje de alta calidad y servicio excepcional a nuestros clientes en todo el mundo.,"Ser líderes en la industria hotelera a nivel global, conocidos por nuestra excelencia en servicio y experiencias innovadoras.",2.5729
GHL Hoteles,Servicios,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Inteligencia Artificial; Automatización / Robótica; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,Ofrecer experiencias de hospitalidad de alta calidad a nuestros clientes a través de nuestra cadena de hoteles en Colombia y otros países.,"Ser líderes en la industria hotelera en América Latina, reconocidos por nuestra excelencia en servicio y sostenibilidad.",2.7031
Movich Hotels,Servicios,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Inteligencia Artificial; Automatización / Robótica; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,Ofrecer experiencias de hospitalidad de clase mundial en Colombia y posicionarnos como líderes en el sector hotelero.,"Ser reconocidos como una de las cadenas hoteleras más importantes de América Latina, con una presencia significativa en la región.",2.5929
Hoteles Estelar,Servicios,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Inteligencia Artificial; Automatización / Robótica; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,Ofrecer experiencias de hospitalidad de clase mundial a nuestros huéspedes en Colombia y más allá.,"Ser reconocidos como la cadena hotelera líder en América Latina, con una presencia fuerte en los principales destinos turísticos.",2.5765
Hoteles Dann Carlton,Servicios,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Computación en la nube; Ciberseguridad; Big Data y analítica avanzada,Ofrecer experiencias de hospitalidad de alta calidad a nuestros clientes en Colombia y otros países de América Latina.,"Ser líderes en la industria hotelera en América Latina, reconocidos por nuestra excelencia en servicio y sostenibilidad.",2.5563
Aviatur,Servicios,Mediana (alta) — $10.000–50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Inteligencia Artificial; Automatización / Robótica; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,"Ofrecer experiencias de viaje personalizadas y seguras a nuestros clientes, aprovechando nuestra expertise en el sector turístico.","Consolidarnos como líderes en la industria turística en Colombia y expandernos a nuevos mercados internacionales, manteniendo nuestro compromiso con la innovación y el servicio al cliente.",2.6555
On Vacation,Servicios,Mediana (alta) — $10.000–50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Inteligencia Artificial; Automatización / Robótica; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,"Ofrecer experiencias de viaje únicas y personalizadas a nuestros clientes, aprovechando nuestra expertise en el sector turístico.","Ser líderes en la industria turística a nivel global, innovando constantemente en la oferta de experiencias de viaje.",2.6425
Grupo Aviatur,Servicios,Mediana (alta) — $10.000–50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Inteligencia Artificial; Automatización / Robótica; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,"Ofrecer experiencias de viaje únicas y personalizadas a nuestros clientes, aprovechando nuestra amplia red de destinos y servicios.","Consolidarnos como líderes en la industria turística en América Latina, expandiendo nuestra oferta de servicios y destinos, y fortaleciendo nuestra presencia digital.",2.6884
Hoteles Tequendama,Servicios,Mediana (alta) — $10.000–50.000 M,>500,Medio - Digitalización de algunos procesos,Computación en la nube; Ciberseguridad; Big Data y analítica avanzada,Ofrecer experiencias de hospitalidad y servicios de alta calidad a nuestros clientes en Colombia.,"Ser líderes en la industria hotelera en Colombia, expandiendo nuestra presencia y servicios a nivel internacional.",2.6925
Concesión OPAIN,Construcción,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Computación en la nube; Ciberseguridad; Big Data y analítica avanzada,Gestionar y operar concesiones de infraestructura aeroportuaria de manera eficiente y segura.,"Ser líderes en la gestión de concesiones de infraestructura aeroportuaria en Latinoamérica, expandiendo nuestra presencia y servicios.",2.7251
Aeropuertos de Oriente S.A.S.,Servicios,Mediana (alta) — $10.000–50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Computación en la nube; Ciberseguridad; Big Data y analítica avanzada,Brindar servicios de gestión aeroportuaria eficientes y seguros,Consolidarnos como líderes en servicios aeroportuarios en Colombia y expandernos a nivel regional,2.5638
Airplan,Servicios,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Inteligencia Artificial; Automatización / Robótica; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,Ofrecer servicios de transporte aéreo seguros y eficientes a nuestros clientes.,"Consolidarnos como líderes en la industria del transporte aéreo en América Latina, expandiendo nuestra oferta de servicios y destinos.",2.5675
Metro de Medellín,Servicios,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Automatización / Robótica; Big Data y analítica avanzada; Internet de las cosas (IoT); Computación en la nube; Ciberseguridad,Ofrecer un sistema de transporte masivo eficiente y sostenible para la ciudad de Medellín.,"Consolidarnos como un referente en sistemas de transporte urbano a nivel internacional, expandiendo nuestra cobertura y servicios.",2.5793
Empresa Metro de Bogotá,Servicios,Mediana (alta) — $10.000–50.000 M,>500,Medio - Digitalización de algunos procesos,Computación en la nube; Ciberseguridad; Big Data y analítica avanzada,Ofrecer un sistema de transporte masivo eficiente y sostenible para la ciudad de Bogotá.,"Consolidarnos como líder en transporte público en Latinoamérica, expandiendo nuestra cobertura y calidad de servicio.",2.6498
TransMilenio S.A.,Servicios,Grande — > $50.000 M,>500,Medio - Digitalización de algunos procesos,Computación en la nube; Ciberseguridad; Big Data y analítica avanzada,Ofrecer un sistema de transporte público eficiente y seguro en Bogotá,Consolidarnos como líder en transporte público en Colombia y expandir nuestra cobertura a nivel nacional,2.5187
Metrocali S.A.,Servicios,Mediana (alta) — $10.000–50.000 M,>500,Medio - Digitalización de algunos procesos,Computación en la nube; Ciberseguridad; Big Data y analítica avanzada,Ofrecer un sistema de transporte masivo eficiente y sostenible en Cali.,Consolidarnos como líderes en transporte público en Colombia y expandernos a otras ciudades.,2.5441
Concesión Briceño-Tunja-Sogamoso (BTS),Construcción,Mediana (alta) — $10.000–50.000 M,>500,Medio - Digitalización de algunos procesos,Computación en la nube; Ciberseguridad; Big Data y analítica avanzada,Construir y mantener infraestructura de transporte de alta calidad en Colombia.,"Ser líderes en la construcción de infraestructura de transporte en Colombia, con altos estándares de calidad y seguridad.",2.5576
Concesión Girardot-Honda-Puerto Salgar (GHPS),Construcción,Mediana (baja) — $1.000–10.000 M,51-200,Medio - Digitalización de algunos procesos,Computación en la nube; Ciberseguridad; Big Data y analítica avanzada,Construir y mantener infraestructura vial de alta calidad en Colombia.,Ser líderes en la construcción de infraestructura en Colombia y expandir nuestra presencia en la región.,2.5662
Concesión Perimetral Oriental de Bogotá,Construcción,Mediana (alta) — $10.000–50.000 M,>500,Medio - Digitalización de algunos procesos,Computación en la nube; Ciberseguridad; Big Data y analítica avanzada,Gestionar y mantener la infraestructura vial de Bogotá de manera eficiente y segura.,Ser líderes en la gestión de infraestructuras viales sostenibles y seguras en Colombia y Latinoamérica.,2.5332
Grupo OET,Servicios,Mediana (alta) — $10.000–50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Inteligencia Artificial; Automatización / Robótica; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,"En Grupo OET nos enfocamos en brindar soluciones integrales en servicios de ingeniería, construcción y mantenimiento para sectores estratégicos.","En 18 años, Grupo OET será líder en Latinoamérica en servicios de ingeniería y construcción, reconocida por su innovación y sostenibilidad.",2.6136
Casa Luker,Manufactura,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Automatización / Robótica; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,Consolidarnos como líderes en la producción de chocolates y golosinas en Colombia y expandir nuestra presencia en mercados internacionales.,Ser reconocidos como una de las empresas más innovadoras y sostenibles en el sector de alimentos en Latinoamérica.,2.5947
Café Águila Roja,Agroindustria,Grande — > $50.000 M,>500,Medio - Digitalización de algunos procesos,Computación en la nube; Ciberseguridad; Big Data y analítica avanzada,Consolidarnos como líderes en la producción y comercialización de café en Colombia y expandir nuestra presencia en mercados internacionales.,Ser reconocidos como una de las empresas más sostenibles y responsables en la industria del café a nivel global.,2.5568
Solla S.A.,Agroindustria,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Inteligencia Artificial; Automatización / Robótica; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,Consolidarnos como líderes en la producción y comercialización de productos alimenticios de alta calidad en Colombia y expandarnos a nuevos mercados.,"Ser una de las empresas agroalimentarias más importantes y sostenibles de América Latina, reconocida por su innovación y compromiso con la seguridad alimentaria y el medio ambiente.",2.6222
Alimentos Polar Colombia,Agroindustria,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Automatización / Robótica; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,"Alimentos Polar Colombia busca mantener su liderazgo en el mercado de alimentos en Colombia, ofreciendo productos de alta calidad y variedad.","En 18 años, Alimentos Polar Colombia aspira a ser una empresa líder en la industria de alimentos en Latinoamérica, reconocida por su innovación y sostenibilidad.",2.6093
Frubana,Tecnología,Grande — > $50.000 M,>500,"Avanzado - Uso intensivo de tecnologías emergentes, IA, IoT, etc.",Inteligencia Artificial; Automatización / Robótica; Big Data y analítica avanzada; Internet de las cosas (IoT); Computación en la nube; Ciberseguridad,Transformar la forma en que las empresas de alimentos y bebidas operan en América Latina a través de la tecnología.,Ser líder en la transformación digital de la industria de alimentos y bebidas en América Latina y expandirse a nuevos mercados.,2.6308
Colmédica Medicina Prepagada,Salud,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Inteligencia Artificial; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,Brindar servicios de salud de alta calidad a nuestros afiliados,Ser líderes en la prestación de servicios de salud en Colombia y Latinoamérica,2.5341
Keralty,Salud,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Inteligencia Artificial; Automatización / Robótica; Big Data y analítica avanzada; Ciberseguridad; Computación en la nube,Brindar servicios de salud de alta calidad y eficiencia a nuestros pacientes.,"Ser líderes en la prestación de servicios de salud en Colombia y Latinoamérica, impulsando la innovación y la tecnología.",2.5806
Grupo Keralty,Salud,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Inteligencia Artificial; Automatización / Robótica; Big Data y analítica avanzada; Ciberseguridad; Computación en la nube,Brindar servicios de salud de alta calidad y eficiencia a nuestros pacientes.,"Ser líderes en la prestación de servicios de salud en Colombia y Latinoamérica, con un enfoque en la innovación y la calidad.",2.571
Aerocali,Servicios,Mediana (alta) — $10.000–50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Automatización / Robótica; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,Ofrecer servicios de transporte aéreo de alta calidad y seguridad en Colombia.,Consolidarnos como líderes en el mercado de transporte aéreo en Colombia y expandernos a nivel regional.,2.5964
Sociedad Portuaria Puerto Bahía,Servicios,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Automatización / Robótica; Big Data y analítica avanzada; Ciberseguridad; Computación en la nube,"Ser líderes en servicios portuarios integrales, ofreciendo soluciones eficientes y seguras.",Consolidarnos como el principal operador portuario en Colombia y expandir nuestra influencia en la región.,2.556
Compas Barranquilla,Comercio,Mediana (alta) — $10.000–50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Computación en la nube; Ciberseguridad; Big Data y analítica avanzada,"Ser líderes en la distribución de productos de consumo masivo en Colombia, ofreciendo una experiencia de compra innovadora y eficiente.","Consolidarnos como una de las empresas de comercio más importantes de Colombia, expandiendo nuestra presencia en la región y continuando con nuestra estrategia de innovación y servicio al cliente.",2.629
Compas Cartagena,Comercio,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Inteligencia Artificial; Automatización / Robótica; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,"Consolidarnos como líderes en el mercado de comercio electrónico en Colombia, ofreciendo una experiencia de compra innovadora y segura.","Ser reconocidos como uno de los principales grupos de comercio electrónico en Latinoamérica, expandiendo nuestra presencia en la región y continuando con nuestra apuesta por la innovación y la tecnología.",2.6418
Compas Buenaventura,Energía y Minería,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Automatización / Robótica; Big Data y analítica avanzada; Ciberseguridad; Computación en la nube,"Ser líderes en la producción de energía y minería en Colombia, con un enfoque en la sostenibilidad y la seguridad.","Consolidarnos como una de las empresas más importantes en el sector energético y minero a nivel global, con una presencia significativa en América Latina.",2.6283
Cerro Matoso,Energía y Minería,Grande — > $50.000 M,>500,Medio - Digitalización de algunos procesos,Automatización / Robótica; Big Data y analítica avanzada; Ciberseguridad,"Ser líder en la producción de níquel en Colombia, con un enfoque en la sostenibilidad y la seguridad.","Consolidarnos como una de las empresas mineras más importantes de América Latina, con una producción eficiente y responsable.",2.5652
Mineros S.A.,Energía y Minería,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Automatización / Robótica; Big Data y analítica avanzada; Ciberseguridad; Computación en la nube,"Ser líderes en la producción de minerales en Colombia, con un enfoque en la sostenibilidad y la seguridad.","Consolidarnos como una de las empresas mineras más importantes de América Latina, expandiendo nuestra presencia en nuevos mercados.",2.5978
Aris Mining Colombia,Energía y Minería,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Automatización / Robótica; Big Data y analítica avanzada; Ciberseguridad; Computación en la nube,Maximizar la producción de oro y cobre de manera sostenible y segura.,Consolidarnos como líderes en la minería en Colombia y expandír nuestra presencia en mercados internacionales.,2.5994
Gran Colombia Gold,Energía y Minería,Grande — > $50.000 M,>500,Medio - Digitalización de algunos procesos,Automatización / Robótica; Big Data y analítica avanzada; Ciberseguridad; Computación en la nube,"Maximizar la producción de oro y otros minerales en Colombia, manteniendo altos estándares de seguridad y sostenibilidad.","Consolidarnos como líderes en la minería aurífera en Colombia, expandiendo nuestras operaciones de manera sostenible y responsable.",2.5784
Continental Gold Colombia,Energía y Minería,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Automatización / Robótica; Big Data y analítica avanzada; Ciberseguridad; Computación en la nube,Extraer y comercializar minerales de manera sostenible y segura.,"Ser líder en la industria minera en Colombia, con un enfoque en la sostenibilidad y la innovación.",2.5377
Zijin Continental Gold,Energía y Minería,Grande — > $50.000 M,>500,Medio - Digitalización de algunos procesos,Automatización / Robótica; Big Data y analítica avanzada; Ciberseguridad; Computación en la nube,Extraer y comercializar oro de manera sostenible y segura.,"Ser líder en la industria minera aurífera a nivel global, con operaciones eficientes y sostenibles.",2.5744
Prodeco,Manufactura,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Automatización / Robótica; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,Prodeco busca mantener su liderazgo en el sector manufacturero colombiano mediante la innovación y la eficiencia operativa.,"En 18 años, Prodeco aspira a ser un referente global en manufactura sostenible y tecnología aplicada, expandiendo su presencia en mercados internacionales.",2.6225
Minera El Roble,Energía y Minería,Grande — > $50.000 M,>500,Medio - Digitalización de algunos procesos,Automatización / Robótica; Big Data y analítica avanzada; Ciberseguridad,Extraer y comercializar minerales de manera sostenible y segura.,Consolidarnos como líderes en la industria minera en Colombia y expandir nuestra presencia en mercados internacionales.,2.5137
Minera de Cobre Quebradona,Energía y Minería,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Automatización / Robótica; Big Data y analítica avanzada; Ciberseguridad; Computación en la nube,Extraer y comercializar cobre de manera sostenible y segura.,"Ser líder en la industria minera de cobre en Colombia y Latinoamérica, con prácticas de sostenibilidad y seguridad ejemplares.",2.5428
Canacol Energy Colombia,Energía y Minería,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Inteligencia Artificial; Automatización / Robótica; Big Data y analítica avanzada; Internet de las cosas (IoT); Computación en la nube; Ciberseguridad,Nuestro propósito hoy es maximizar la producción de hidrocarburos de manera segura y sostenible.,"En 18 años, nuestro objetivo es ser líderes en la transición energética en Colombia, diversificando nuestra matriz energética hacia fuentes más limpias y sostenibles.",2.6198
Frontera Energy (holding),Energía y Minería,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Inteligencia Artificial; Automatización / Robótica; Big Data y analítica avanzada; Ciberseguridad; Computación en la nube,"Consolidarnos como líderes en la industria energética en Colombia, mediante la exploración y producción de hidrocarburos de manera segura y sostenible.","Ser una empresa energética de clase mundial, reconocida por su excelencia en la operación y su compromiso con la sostenibilidad y la responsabilidad social.",2.6244
Campetrol,Energía y Minería,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Automatización / Robótica; Big Data y analítica avanzada; Ciberseguridad; Computación en la nube,"Consolidarnos como líderes en la industria de servicios petroleros en Colombia, mejorando la eficiencia y seguridad en nuestras operaciones.","Ser reconocidos como una de las empresas más innovadoras y sostenibles en el sector energético a nivel global, expandiendo nuestra presencia en Latinoamérica.",2.5917
Caracol Radio,Servicios,Mediana (alta) — $10.000–50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Computación en la nube; Ciberseguridad; Big Data y analítica avanzada,"Ser líderes en la industria de la radio en Colombia, ofreciendo contenido de alta calidad y alcanzando a nuestra audiencia de manera efectiva.","Consolidarnos como la emisora de radio más influyente en Colombia y Latinoamérica, innovando en la creación y distribución de contenido.",2.5831
RCN Radio,Servicios,Mediana (alta) — $10.000–50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Computación en la nube; Ciberseguridad; Big Data y analítica avanzada,Consolidarnos como líderes en el sector de la comunicación en Colombia,Ser reconocidos como una de las empresas de medios de comunicación más innovadoras de Latinoamérica,2.5575
Olímpica Stereo,Servicios,Mediana (alta) — $10.000–50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Computación en la nube; Ciberseguridad; Big Data y analítica avanzada,"Olímpica Stereo busca mantener su liderazgo en la industria de la radiodifusión en Colombia, ofreciendo contenido de alta calidad y experiencias innovadoras a su audiencia.","En 18 años, Olímpica Stereo aspira a ser una plataforma multimedia líder en Colombia y Latinoamérica, integrando tecnologías emergentes y expandiendo su oferta de contenido.",2.6611
Blu Radio,Servicios,Mediana (baja) — $1.000–10.000 M,51-200,Medio - Digitalización de algunos procesos,Computación en la nube; Ciberseguridad; Big Data y analítica avanzada,Ofrecer servicios de radio y medios de comunicación de alta calidad a nuestra audiencia.,"Ser líderes en la industria de la comunicación en Colombia y Latinoamérica, con una amplia cobertura y alcance.",2.5439
Red+ Noticias,Servicios,Mediana (baja) — $1.000–10.000 M,51-200,Medio - Digitalización de algunos procesos,Computación en la nube; Ciberseguridad; Big Data y analítica avanzada,Ofrecer noticias de alta calidad y credibilidad a nuestra audiencia en Colombia.,"Ser el medio de comunicación líder en Colombia, reconocido por nuestra integridad y cobertura informativa innovadora.",2.5346
Pintuco,Manufactura,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Automatización / Robótica; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,Ser líderes en la producción y comercialización de pinturas y recubrimientos en Colombia y la región.,Consolidarnos como una empresa multinacional con presencia en Latinoamérica y amplia oferta de productos y soluciones.,2.5719
Pavco Wavin Colombia,Manufactura,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Automatización / Robótica; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,Consolidarnos como líderes en la producción de tuberías y soluciones para la construcción en Colombia y Latinoamérica.,Ser reconocidos como una de las empresas más innovadoras y sostenibles en el sector de la manufactura en Colombia.,2.5666
Ultracem,Energía y Minería,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Automatización / Robótica; Big Data y analítica avanzada; Ciberseguridad; Computación en la nube,"Ser líderes en la producción de cemento y concreto en Colombia, con un enfoque en la sostenibilidad y la calidad.","Consolidarnos como una de las empresas líderes en la industria de materiales de construcción en América Latina, expandiendo nuestra presencia en nuevos mercados.",2.6334
Holcim Colombia,Construcción,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Automatización / Robótica; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,"En Holcim Colombia, nos enfocamos en liderar la industria de materiales de construcción, innovando y mejorando la calidad de vida de las comunidades.","En 18 años, nos proyectamos como líderes en sostenibilidad y construcción, expandiendo nuestra influencia en Latinoamérica y continuando nuestra labor en la creación de comunidades más resilientes.",2.8084
Concretos Argos,Construcción,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Big Data y analítica avanzada; Computación en la nube; Ciberseguridad; Automatización / Robótica,Consolidarnos como líderes en la producción de materiales de construcción en Colombia y ampliar nuestra presencia en mercados internacionales.,Ser reconocidos como una de las empresas más innovadoras y sostenibles en el sector de la construcción a nivel global.,2.6176
Schlumberger Surenco,Energía y Minería,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Inteligencia Artificial; Automatización / Robótica; Big Data y analítica avanzada; Internet de las cosas (IoT); Computación en la nube; Ciberseguridad,"Proveer soluciones integrales para la industria de energía y minería, mejorando la eficiencia y seguridad en operaciones.","Ser líder global en la provisión de tecnologías y servicios para la transición energética, impulsando la sostenibilidad y reducción de emisiones.",2.8608
